theme,user,title,content
Tabagisme,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Drogues,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Obésité,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Malnutrition,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Exercice Physique,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Maladie cardiovasculaires,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Cécité,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Prostitution,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Infertilité,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Antisémitisme,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Racisme,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Haine anti-musulman,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Terrorisme,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Homophobie,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Égalité hommes-femmes,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Racisme anti-blanc,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Racisme anti-asiatique,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
"Ségrégation sociale, culturelle",charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Manque de dialogue social,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Diversité et Inclusion,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Orphelins,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Harcèlement Scolaire,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Personnes en réinsertion,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Violence et Délinquance,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Fondamentalisme Islamiste,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Data Privacy,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Inégalités économiques,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Chômage,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Pauvreté,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Mal-logement/Non-logement,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Désertion rurale,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Pollution,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Dévégétalisation,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Déchet,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Disparition du mode de vie paysan,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Disparition de la biodiversité,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Maltraitance Animale,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Énergies fossiles ou renouvelables,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Pesticides,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Élevage Industriel ou Agriculture Durable,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Burn-out,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Communication & problèmes interpersonnels,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Addiction et comportements addictifs,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Consommation et Surconsommation,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Anxiété,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Dépression,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Dépendance technologique,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Solitude et Isolement,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Vie Romantique & Sexuelle,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Éducation Initiale,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Formation et reformation professionnelle,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Esprit critique et fake news,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Démocratie,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Protection du patrimoine Français,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Défense de la francophonie,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Cuisine et Gastronomie,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Traditions Populaires,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Conservation des Paysages,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Endettement,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Recherche,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Sécurité,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Justice,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Culture,charles-breton@hotmail.fr,Comment résoudre le problème selon moi,"Après avoir longuement étudié la question, je pense que c'est comme ça qu'il faut faire"
Tabagisme,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Drogues,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Obésité,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
